Timestamp;phi;thetab;spin_rad
3285000;-1.186850E-002;-7.656991E-003;-9.230384E-003
3298000;-1.176773E-002;-7.702142E-003;-9.230384E-003
3310000;-1.168838E-002;-7.776082E-003;-9.230384E-003
3323000;-1.157407E-002;-7.854700E-003;-9.230384E-003
3335000;-1.145053E-002;-7.855803E-003;-9.230384E-003
3346000;-1.129280E-002;-7.834107E-003;-9.230384E-003
3359000;-1.111018E-002;-7.841796E-003;-9.230384E-003
3371000;-1.094435E-002;-7.859766E-003;-9.230384E-003
3383000;-1.076692E-002;-7.835627E-003;-9.230384E-003
3395000;-1.054600E-002;-7.783920E-003;-9.230384E-003
3407000;-1.033196E-002;-7.756472E-003;-9.230384E-003
3420000;-1.010287E-002;-7.722646E-003;-9.230384E-003
3431000;-9.925041E-003;-7.703751E-003;-9.230384E-003
3442000;-9.762757E-003;-7.686645E-003;-9.230384E-003
3454000;-9.567976E-003;-7.611811E-003;-9.230384E-003
3466000;-9.410874E-003;-7.554919E-003;-9.230384E-003
3477000;-9.258981E-003;-7.515877E-003;-9.230384E-003
3489000;-9.129350E-003;-7.473946E-003;-9.230384E-003
3501000;-9.006860E-003;-7.408619E-003;-9.230384E-003
3513000;-8.901576E-003;-7.380575E-003;-9.230384E-003
3525000;-8.830408E-003;-7.357448E-003;-9.230384E-003
3538000;-8.755472E-003;-7.298946E-003;-9.230384E-003
3551000;-8.720543E-003;-7.228345E-003;-9.230384E-003
3562000;-8.706531E-003;-7.120341E-003;-9.230384E-003
3575000;-8.696805E-003;-7.014781E-003;-9.230384E-003
3587000;-8.744581E-003;-6.915689E-003;-9.230384E-003
3599000;-8.784864E-003;-6.785274E-003;-9.230384E-003
3611000;-8.866551E-003;-6.607533E-003;-9.230384E-003
3623000;-8.979539E-003;-6.415427E-003;-9.230384E-003
3636000;-9.156546E-003;-6.179929E-003;-9.230384E-003
3648000;-9.343201E-003;-5.916417E-003;-9.230384E-003
3660000;-9.556554E-003;-5.643040E-003;-9.230384E-003
3672000;-9.805419E-003;-5.414426E-003;-9.230384E-003
3685000;-1.005926E-002;-5.202264E-003;-9.230384E-003
3697000;-1.033224E-002;-4.975170E-003;-9.230384E-003
3708000;-1.060158E-002;-4.798770E-003;-9.230384E-003
3721000;-1.088254E-002;-4.643798E-003;-9.230384E-003
3734000;-1.112792E-002;-4.434824E-003;-9.230384E-003
3746000;-1.135217E-002;-4.232496E-003;-9.230384E-003
3759000;-1.155977E-002;-4.097253E-003;-9.230384E-003
3771000;-1.169018E-002;-3.957629E-003;-9.230384E-003
3783000;-1.180284E-002;-3.791541E-003;-9.230384E-003
3795000;-1.188767E-002;-3.637761E-003;-9.230384E-003
3806000;-1.192069E-002;-3.487319E-003;-9.230384E-003
3818000;-1.193735E-002;-3.296107E-003;-9.230384E-003
3830000;-1.196895E-002;-3.140032E-003;-9.230384E-003
3842000;-1.198300E-002;-2.959490E-003;-9.230384E-003
3853000;-1.199366E-002;-2.786547E-003;-9.230384E-003
3865000;-1.202513E-002;-2.610683E-003;-9.230384E-003
3877000;-1.205630E-002;-2.402693E-003;-9.230384E-003
3889000;-1.209281E-002;-2.163857E-003;-9.230384E-003
3902000;-1.212606E-002;-1.945615E-003;-9.230384E-003
3914000;-1.214145E-002;-1.755714E-003;-9.230384E-003
3926000;-1.214458E-002;-1.547486E-003;-9.230384E-003
3938000;-1.215560E-002;-1.319379E-003;-9.230384E-003
3951000;-1.216720E-002;-1.138389E-003;-9.230384E-003
3963000;-1.214084E-002;-9.794533E-004;-9.230384E-003
3976000;-1.210162E-002;-8.358359E-004;-9.230384E-003
3987000;-1.205507E-002;-6.975830E-004;-9.230384E-003
4000000;-1.198774E-002;-5.581379E-004;-9.230384E-003
4011000;-1.190722E-002;-4.741549E-004;-9.230384E-003
4024000;-1.179773E-002;-3.567636E-004;-9.230384E-003
4035000;-1.168108E-002;-2.798140E-004;-9.230384E-003
4047000;-1.157096E-002;-2.232790E-004;-9.230384E-003
4059000;-1.149139E-002;-1.319647E-004;-9.230384E-003
4071000;-1.147620E-002;-1.287460E-005;-9.230384E-003
4084000;-1.145653E-002;1.313090E-004;-9.230384E-003
4096000;-1.144809E-002;2.461672E-004;-9.230384E-003
4109000;-1.147225E-002;4.022419E-004;-9.230384E-003
4121000;-1.149121E-002;6.271899E-004;-9.230384E-003
4134000;-1.150850E-002;8.099377E-004;-9.230384E-003
4147000;-1.154721E-002;1.028627E-003;-9.230384E-003
4160000;-1.156911E-002;1.255304E-003;-9.230384E-003
4172000;-1.160114E-002;1.449138E-003;-9.230384E-003
4184000;-1.164027E-002;1.606435E-003;-9.230384E-003
4196000;-1.166365E-002;1.804233E-003;-9.230384E-003
4209000;-1.169773E-002;2.022147E-003;-9.230384E-003
4221000;-1.172919E-002;2.240330E-003;-9.230384E-003
4233000;-1.176860E-002;2.429366E-003;-9.230384E-003
4245000;-1.178159E-002;2.632201E-003;-9.230384E-003
4257000;-1.179322E-002;2.788544E-003;-9.230384E-003
4269000;-1.180679E-002;2.997875E-003;-9.230384E-003
4281000;-1.182071E-002;3.206611E-003;-9.230384E-003
4294000;-1.185426E-002;3.387064E-003;-9.230384E-003
4305000;-1.188213E-002;3.503412E-003;-9.230384E-003
4318000;-1.190119E-002;3.653258E-003;-9.230384E-003
4330000;-1.188855E-002;3.760070E-003;-9.230384E-003
4342000;-1.187310E-002;3.799111E-003;-9.230384E-003
4354000;-1.187702E-002;3.795326E-003;-9.230384E-003
4366000;-1.187617E-002;3.713727E-003;-9.230384E-003
4378000;-1.183588E-002;3.553391E-003;-9.230384E-003
4391000;-1.174793E-002;3.336251E-003;-9.230384E-003
4404000;-1.164002E-002;3.083169E-003;-9.230384E-003
4416000;-1.154767E-002;2.803296E-003;-9.230384E-003
4429000;-1.144974E-002;2.495110E-003;-9.230384E-003
4441000;-1.139949E-002;2.186090E-003;-9.230384E-003
4454000;-1.132160E-002;1.983523E-003;-9.230384E-003
4467000;-1.129663E-002;1.824737E-003;-9.230384E-003
4480000;-1.129756E-002;1.699597E-003;-9.230384E-003
4492000;-1.131332E-002;1.583457E-003;-9.230384E-003
4506000;-1.133609E-002;1.475066E-003;-9.230384E-003
4519000;-1.138128E-002;1.383752E-003;-9.230384E-003
4531000;-1.142783E-002;1.297802E-003;-9.230384E-003
4543000;-1.144656E-002;1.240224E-003;-9.230384E-003
4555000;-1.149376E-002;1.194596E-003;-9.230384E-003
4567000;-1.152455E-002;1.126617E-003;-9.230384E-003
4579000;-1.155497E-002;1.061022E-003;-9.230384E-003
4592000;-1.160037E-002;9.691715E-004;-9.230384E-003
4604000;-1.163657E-002;8.654892E-004;-9.230384E-003
4616000;-1.167990E-002;7.058382E-004;-9.230384E-003
4628000;-1.169869E-002;5.535185E-004;-9.230384E-003
4640000;-1.172128E-002;3.928542E-004;-9.230384E-003
4652000;-1.177646E-002;1.664162E-004;-9.230384E-003
4667000;-1.181580E-002;-7.122755E-006;-9.230384E-003
4679000;-1.185167E-002;-1.938343E-004;-9.230384E-003
4691000;-1.191487E-002;-3.696978E-004;-9.230384E-003
4704000;-1.198384E-002;-5.775392E-004;-9.230384E-003
4717000;-1.205061E-002;-7.555485E-004;-9.230384E-003
4729000;-1.212004E-002;-9.587407E-004;-9.230384E-003
4742000;-1.217305E-002;-1.184851E-003;-9.230384E-003
4755000;-1.224298E-002;-1.332641E-003;-9.230384E-003
4767000;-1.230346E-002;-1.536429E-003;-9.230384E-003
4779000;-1.234792E-002;-1.675457E-003;-9.230384E-003
4792000;-1.239944E-002;-1.816481E-003;-9.230384E-003
4804000;-1.243433E-002;-2.011150E-003;-9.230384E-003
4816000;-1.248155E-002;-2.191305E-003;-9.230384E-003
4829000;-1.252324E-002;-2.351075E-003;-9.230384E-003
4841000;-1.250795E-002;-2.559572E-003;-9.230384E-003
4853000;-1.250315E-002;-2.727598E-003;-9.230384E-003
4865000;-1.246746E-002;-2.890170E-003;-9.230384E-003
4878000;-1.242095E-002;-3.079712E-003;-9.230384E-003
4890000;-1.238040E-002;-3.241479E-003;-9.230384E-003
4902000;-1.230291E-002;-3.397346E-003;-9.230384E-003
4914000;-1.227168E-002;-3.604561E-003;-9.230384E-003
4927000;-1.222627E-002;-3.811002E-003;-9.230384E-003
4939000;-1.220405E-002;-3.999710E-003;-9.230384E-003
4951000;-1.218870E-002;-4.192352E-003;-9.230384E-003
4964000;-1.215122E-002;-4.437327E-003;-9.230384E-003
4976000;-1.212933E-002;-4.630148E-003;-9.230384E-003
4988000;-1.209715E-002;-4.798502E-003;-9.230384E-003
5001000;-1.206198E-002;-5.021751E-003;-9.230384E-003
5014000;-1.202532E-002;-5.281031E-003;-9.230384E-003
5026000;-1.200106E-002;-5.477190E-003;-9.230384E-003
5037000;-1.193722E-002;-5.641937E-003;-9.230384E-003
5049000;-1.188001E-002;-5.826443E-003;-9.230384E-003
5061000;-1.179749E-002;-6.005555E-003;-9.230384E-003
5073000;-1.171898E-002;-6.120056E-003;-9.230384E-003
5084000;-1.159708E-002;-6.218106E-003;-9.230384E-003
5096000;-1.146716E-002;-6.370276E-003;-9.230384E-003
5108000;-1.132160E-002;-6.462008E-003;-9.230384E-003
5120000;-1.115720E-002;-6.514132E-003;-9.230384E-003
5133000;-1.093858E-002;-6.520241E-003;-9.230384E-003
5146000;-1.065099E-002;-6.517410E-003;-9.230384E-003
5158000;-1.043502E-002;-6.475747E-003;-9.230384E-003
5170000;-1.022052E-002;-6.402493E-003;-9.230384E-003
5183000;-1.004385E-002;-6.307065E-003;-9.230384E-003
5195000;-9.931450E-003;-6.232917E-003;-9.230384E-003
5207000;-9.873998E-003;-6.109923E-003;-9.230384E-003
5219000;-9.885180E-003;-5.916744E-003;-9.230384E-003
5231000;-9.967541E-003;-5.650938E-003;-9.230384E-003
5245000;-1.016645E-002;-5.298853E-003;-9.230384E-003
5257000;-1.038471E-002;-5.011469E-003;-9.230384E-003
5269000;-1.063254E-002;-4.746765E-003;-9.230384E-003
5282000;-1.091657E-002;-4.442424E-003;-9.230384E-003
5294000;-1.117709E-002;-4.179984E-003;-9.230384E-003
5306000;-1.138088E-002;-3.986120E-003;-9.230384E-003
5318000;-1.155134E-002;-3.833950E-003;-9.230384E-003
5329000;-1.168911E-002;-3.755838E-003;-9.230384E-003
5341000;-1.181992E-002;-3.633052E-003;-9.230384E-003
5355000;-1.195787E-002;-3.503174E-003;-9.230384E-003
5367000;-1.202349E-002;-3.453106E-003;-9.230384E-003
5379000;-1.207486E-002;-3.412306E-003;-9.230384E-003
5392000;-1.212362E-002;-3.355384E-003;-9.230384E-003
5405000;-1.215034E-002;-3.331482E-003;-9.230384E-003
5417000;-1.217302E-002;-3.268540E-003;-9.230384E-003
5430000;-1.219904E-002;-3.178775E-003;-9.230384E-003
5442000;-1.221236E-002;-3.071338E-003;-9.230384E-003
5454000;-1.222841E-002;-2.959222E-003;-9.230384E-003
5466000;-1.224398E-002;-2.861798E-003;-9.230384E-003
5478000;-1.226078E-002;-2.697855E-003;-9.230384E-003
5491000;-1.228699E-002;-2.515107E-003;-9.230384E-003
5503000;-1.230792E-002;-2.358794E-003;-9.230384E-003
5515000;-1.233283E-002;-2.211750E-003;-9.230384E-003
5526000;-1.235810E-002;-2.022952E-003;-9.230384E-003
5539000;-1.238960E-002;-1.824111E-003;-9.230384E-003
5552000;-1.241388E-002;-1.697451E-003;-9.230384E-003
5565000;-1.241339E-002;-1.496911E-003;-9.230384E-003
5577000;-1.240098E-002;-1.322091E-003;-9.230384E-003
5590000;-1.238657E-002;-1.165390E-003;-9.230384E-003
5603000;-1.236131E-002;-9.844005E-004;-9.230384E-003
5615000;-1.234409E-002;-8.459687E-004;-9.230384E-003
5627000;-1.231486E-002;-6.957650E-004;-9.230384E-003
5639000;-1.227656E-002;-5.719662E-004;-9.230384E-003
5651000;-1.223995E-002;-4.446507E-004;-9.230384E-003
5663000;-1.221183E-002;-2.782643E-004;-9.230384E-003
5676000;-1.214745E-002;-1.268685E-004;-9.230384E-003
5688000;-1.211671E-002;1.537800E-005;-9.230384E-003
5700000;-1.208580E-002;2.039373E-004;-9.230384E-003
5712000;-1.206939E-002;3.985167E-004;-9.230384E-003
5725000;-1.206144E-002;5.638003E-004;-9.230384E-003
5737000;-1.207304E-002;7.902980E-004;-9.230384E-003
5749000;-1.208256E-002;1.011878E-003;-9.230384E-003
5762000;-1.209278E-002;1.171201E-003;-9.230384E-003
5773000;-1.211444E-002;1.533955E-003;-9.230384E-003
5796000;-1.210320E-002;1.756132E-003;-9.230384E-003
5808000;-1.210579E-002;1.959860E-003;-9.230384E-003
5821000;-1.210901E-002;2.189785E-003;-9.230384E-003
5834000;-1.211949E-002;2.399087E-003;-9.230384E-003
5846000;-1.212010E-002;2.589256E-003;-9.230384E-003
5859000;-1.211643E-002;2.818674E-003;-9.230384E-003
5872000;-1.214066E-002;3.026247E-003;-9.230384E-003
5884000;-1.212373E-002;3.185809E-003;-9.230384E-003
5897000;-1.210897E-002;3.415763E-003;-9.230384E-003
5910000;-1.208566E-002;3.619283E-003;-9.230384E-003
5921000;-1.205581E-002;3.773928E-003;-9.230384E-003
5933000;-1.202787E-002;3.873765E-003;-9.230384E-003
5945000;-1.197225E-002;3.979206E-003;-9.230384E-003
