Timestamp;s;distance;thetab
2088000;1.837218E-001;1.996457E-001;1.135021E-003
2100000;1.837218E-001;1.996457E-001;1.085371E-003
2112000;1.837049E-001;1.996457E-001;1.044124E-003
2124000;1.837049E-001;1.996457E-001;1.050740E-003
2136000;1.837049E-001;1.996457E-001;1.058489E-003
2149000;1.837049E-001;1.996457E-001;1.053929E-003
2161000;1.836880E-001;1.996457E-001;1.069546E-003
2173000;1.836880E-001;1.996457E-001;1.073867E-003
2185000;1.836712E-001;1.996457E-001;1.053393E-003
2197000;1.836712E-001;1.996457E-001;1.004279E-003
2210000;1.836712E-001;1.996457E-001;9.364188E-004
2222000;1.836543E-001;1.996457E-001;9.444356E-004
2235000;1.836543E-001;1.996457E-001;9.566545E-004
2247000;1.836712E-001;1.996457E-001;9.719133E-004
2259000;1.836543E-001;1.996457E-001;9.757280E-004
2272000;1.836543E-001;1.996457E-001;9.686351E-004
2284000;1.836374E-001;1.996457E-001;9.510517E-004
2297000;1.836374E-001;1.996457E-001;9.332001E-004
2310000;1.836374E-001;1.996457E-001;9.103715E-004
2322000;1.836374E-001;1.996457E-001;8.941889E-004
2335000;1.836374E-001;1.996457E-001;8.407235E-004
2347000;1.836206E-001;1.996457E-001;8.395612E-004
2359000;1.836206E-001;1.996457E-001;8.474588E-004
2371000;1.836037E-001;1.996457E-001;8.471608E-004
2384000;1.836037E-001;1.996457E-001;8.345842E-004
2396000;1.835868E-001;1.996457E-001;8.547604E-004
2408000;1.835868E-001;1.996457E-001;8.743107E-004
2420000;1.835868E-001;1.996457E-001;8.665919E-004
2432000;1.835868E-001;1.996457E-001;8.511841E-004
2445000;1.835868E-001;1.996457E-001;8.134246E-004
2456000;1.836037E-001;1.996457E-001;8.025765E-004
2469000;1.835868E-001;1.996457E-001;7.659197E-004
2481000;1.835699E-001;1.996457E-001;7.236600E-004
2493000;1.835699E-001;1.996457E-001;6.885529E-004
2506000;1.835531E-001;1.996457E-001;6.860197E-004
2518000;1.835531E-001;1.996457E-001;6.442666E-004
2530000;1.835531E-001;1.996457E-001;5.983114E-004
2542000;1.835531E-001;1.996457E-001;5.550683E-004
2555000;1.835362E-001;1.996457E-001;5.109012E-004
2568000;1.835193E-001;1.996457E-001;4.898310E-004
2580000;1.835193E-001;1.996457E-001;4.562438E-004
2591000;1.835193E-001;1.996457E-001;4.130900E-004
2604000;1.835193E-001;1.996457E-001;3.871620E-004
2616000;1.835024E-001;1.996457E-001;3.656745E-004
2628000;1.834856E-001;1.996457E-001;3.435910E-004
2639000;1.834687E-001;1.996457E-001;3.093779E-004
2652000;1.834687E-001;1.996457E-001;2.965331E-004
2664000;1.834687E-001;1.996457E-001;2.836585E-004
2676000;1.834687E-001;1.996457E-001;2.707839E-004
2688000;1.834518E-001;1.996457E-001;2.606809E-004
2700000;1.834518E-001;1.996457E-001;2.647936E-004
2713000;1.834518E-001;1.996457E-001;2.553463E-004
2725000;1.834349E-001;1.996457E-001;2.891421E-004
2737000;1.834349E-001;1.996457E-001;2.861917E-004
2749000;1.834349E-001;1.996457E-001;2.402961E-004
2761000;1.834349E-001;1.996457E-001;2.093911E-004
2773000;1.834181E-001;1.996457E-001;1.828969E-004
2785000;1.834181E-001;1.996457E-001;1.534224E-004
2797000;1.834012E-001;1.996457E-001;1.311004E-004
2810000;1.834012E-001;1.996457E-001;9.101629E-005
2822000;1.833674E-001;1.996457E-001;6.940961E-005
2835000;1.833506E-001;1.996457E-001;7.411838E-005
2847000;1.833506E-001;1.996457E-001;7.697940E-005
2859000;1.833506E-001;1.996457E-001;3.978610E-005
2872000;1.833506E-001;1.996457E-001;6.487966E-005
2884000;1.833337E-001;1.996457E-001;8.025765E-005
2897000;1.832999E-001;1.996457E-001;7.390976E-005
2908000;1.832999E-001;1.996457E-001;7.981062E-005
2920000;1.832831E-001;1.996457E-001;1.048446E-004
2933000;1.832831E-001;1.996457E-001;1.270473E-004
2946000;1.832662E-001;1.996457E-001;1.141131E-004
2958000;1.832493E-001;1.996457E-001;1.486838E-004
2969000;1.832493E-001;1.996457E-001;1.425445E-004
2981000;1.832325E-001;1.996457E-001;1.420975E-004
2993000;1.832325E-001;1.996457E-001;1.402199E-004
3006000;1.832156E-001;1.996457E-001;1.207888E-004
3018000;1.832156E-001;1.996457E-001;1.651645E-004
3030000;1.831987E-001;1.996457E-001;1.723170E-004
3041000;1.831987E-001;1.996457E-001;1.770258E-004
3053000;1.831818E-001;1.996457E-001;1.954138E-004
3066000;1.831650E-001;1.996457E-001;1.941919E-004
3079000;1.831650E-001;1.996457E-001;1.855195E-004
3091000;1.831481E-001;1.996457E-001;1.758039E-004
3104000;1.831481E-001;1.996457E-001;1.726449E-004
3116000;1.831312E-001;1.996457E-001;2.125204E-004
3129000;1.831312E-001;1.996457E-001;2.160668E-004
3141000;1.831312E-001;1.996457E-001;1.734495E-004
3153000;1.831143E-001;1.996457E-001;2.235770E-004
3165000;1.830975E-001;1.996457E-001;2.337694E-004
3178000;1.830806E-001;1.996457E-001;2.176762E-004
3191000;1.830637E-001;1.996457E-001;2.173483E-004
3203000;1.830637E-001;1.996457E-001;2.025366E-004
3215000;1.830468E-001;1.996457E-001;1.973808E-004
3228000;1.830300E-001;1.996457E-001;2.333820E-004
3241000;1.830300E-001;1.996457E-001;2.270341E-004
3253000;1.830131E-001;1.996457E-001;2.224743E-004
3264000;1.830131E-001;1.996457E-001;2.422333E-004
3276000;1.829962E-001;1.996457E-001;2.925098E-004
3288000;1.829962E-001;1.996457E-001;3.038645E-004
3301000;1.829625E-001;1.996457E-001;2.593398E-004
3312000;1.829625E-001;1.996457E-001;2.647340E-004
3323000;1.829456E-001;1.996457E-001;3.062189E-004
3334000;1.829456E-001;1.996457E-001;3.660023E-004
3347000;1.829456E-001;1.996457E-001;3.964901E-004
3359000;1.829456E-001;1.996457E-001;4.265010E-004
3372000;1.829456E-001;1.996457E-001;4.476011E-004
3384000;1.829456E-001;1.996457E-001;4.456937E-004
3397000;1.829456E-001;1.996457E-001;4.637837E-004
3408000;1.829287E-001;1.996457E-001;5.068779E-004
3421000;1.829119E-001;1.996457E-001;5.146563E-004
3433000;1.829119E-001;1.996457E-001;5.163848E-004
3445000;1.829119E-001;1.996457E-001;5.092919E-004
3457000;1.829119E-001;1.996457E-001;5.280077E-004
3470000;1.829119E-001;1.996457E-001;5.230606E-004
3483000;1.829119E-001;1.996457E-001;5.436540E-004
3495000;1.829119E-001;1.996457E-001;5.822480E-004
3507000;1.828950E-001;1.996457E-001;6.087124E-004
3520000;1.828950E-001;1.996457E-001;6.144941E-004
3532000;1.828950E-001;1.996457E-001;6.586313E-004
3545000;1.828950E-001;1.996457E-001;6.718636E-004
3556000;1.828781E-001;1.996457E-001;6.575584E-004
3569000;1.828781E-001;1.996457E-001;6.707609E-004
3580000;1.828781E-001;1.996457E-001;6.643236E-004
3592000;1.828781E-001;1.996457E-001;6.637871E-004
3604000;1.828781E-001;1.996457E-001;6.802678E-004
3616000;1.828781E-001;1.996457E-001;6.701648E-004
3628000;1.828781E-001;1.996457E-001;6.771386E-004
3639000;1.828612E-001;1.996457E-001;7.156730E-004
3651000;1.828781E-001;1.996457E-001;7.300973E-004
3663000;1.828781E-001;1.996457E-001;7.403493E-004
3675000;1.828781E-001;1.996457E-001;7.701218E-004
3687000;1.828781E-001;1.996457E-001;7.973015E-004
3700000;1.828781E-001;1.996457E-001;8.175671E-004
3712000;1.828781E-001;1.996457E-001;8.259714E-004
3724000;1.828781E-001;1.996457E-001;8.337200E-004
3737000;1.828781E-001;1.996457E-001;8.451641E-004
3749000;1.828781E-001;1.996457E-001;8.225739E-004
3761000;1.828612E-001;1.996457E-001;8.187592E-004
3773000;1.828781E-001;1.996457E-001;8.322895E-004
3785000;1.828612E-001;1.996457E-001;8.538961E-004
3797000;1.828612E-001;1.996457E-001;8.168519E-004
3809000;1.828612E-001;1.996457E-001;8.014143E-004
3822000;1.828612E-001;1.996457E-001;8.346140E-004
3835000;1.828612E-001;1.996457E-001;8.440912E-004
3848000;1.828612E-001;1.996457E-001;8.370280E-004
3861000;1.828444E-001;1.996457E-001;8.256137E-004
3874000;1.828444E-001;1.996457E-001;7.738471E-004
3886000;1.828612E-001;1.996457E-001;7.661879E-004
3898000;1.828444E-001;1.996457E-001;7.624924E-004
3910000;1.828444E-001;1.996457E-001;7.691085E-004
3922000;1.828444E-001;1.996457E-001;7.503927E-004
3934000;1.828444E-001;1.996457E-001;7.697344E-004
3948000;1.828444E-001;1.996457E-001;7.670820E-004
3961000;1.828444E-001;1.996457E-001;7.389188E-004
3974000;1.828444E-001;1.996457E-001;7.286966E-004
3987000;1.828444E-001;1.996457E-001;7.191896E-004
3999000;1.828444E-001;1.996457E-001;7.317364E-004
4012000;1.828444E-001;1.996457E-001;7.215738E-004
4024000;1.828275E-001;1.996457E-001;7.346869E-004
4035000;1.828444E-001;1.996457E-001;7.310212E-004
4047000;1.828275E-001;1.996457E-001;7.350147E-004
4059000;1.828275E-001;1.996457E-001;7.053018E-004
4071000;1.828275E-001;1.996457E-001;7.081926E-004
4084000;1.828275E-001;1.996457E-001;7.438362E-004
4096000;1.828275E-001;1.996457E-001;7.754862E-004
4109000;1.828275E-001;1.996457E-001;7.327199E-004
4122000;1.828106E-001;1.996457E-001;7.184446E-004
4134000;1.828106E-001;1.996457E-001;6.881356E-004
4146000;1.828106E-001;1.996457E-001;6.494820E-004
4159000;1.827937E-001;1.996457E-001;6.573796E-004
4172000;1.827937E-001;1.996457E-001;6.617010E-004
4184000;1.827769E-001;1.996457E-001;6.762743E-004
4197000;1.827937E-001;1.996457E-001;6.596744E-004
4210000;1.827600E-001;1.996457E-001;6.204844E-004
4222000;1.827600E-001;1.996457E-001;6.036758E-004
4235000;1.827600E-001;1.996457E-001;6.121099E-004
4247000;1.827431E-001;1.996457E-001;6.014109E-004
4259000;1.827431E-001;1.996457E-001;5.991757E-004
4271000;1.827431E-001;1.996457E-001;5.899668E-004
4284000;1.827431E-001;1.996457E-001;5.491674E-004
4295000;1.827431E-001;1.996457E-001;5.260706E-004
4308000;1.827262E-001;1.996457E-001;5.220771E-004
4322000;1.827262E-001;1.996457E-001;5.090833E-004
4334000;1.827262E-001;1.996457E-001;4.689693E-004
4346000;1.827094E-001;1.996457E-001;4.697740E-004
4359000;1.826925E-001;1.996457E-001;4.304945E-004
4372000;1.826925E-001;1.996457E-001;4.452467E-004
4384000;1.826756E-001;1.996457E-001;4.407465E-004
4397000;1.826756E-001;1.996457E-001;4.242063E-004
4410000;1.826756E-001;1.996457E-001;4.145801E-004
4422000;1.826756E-001;1.996457E-001;3.730953E-004
4434000;1.826587E-001;1.996457E-001;3.827214E-004
4446000;1.826587E-001;1.996457E-001;4.178286E-004
4458000;1.826587E-001;1.996457E-001;4.244447E-004
4470000;1.826419E-001;1.996457E-001;4.207492E-004
4482000;1.826419E-001;1.996457E-001;4.079938E-004
4494000;1.826419E-001;1.996457E-001;3.983974E-004
4507000;1.826419E-001;1.996457E-001;4.039705E-004
4519000;1.826419E-001;1.996457E-001;4.121065E-004
4531000;1.826419E-001;1.996457E-001;3.980994E-004
