Timestamp;torque;torque
2626000;-1.756348E+001;-2.360531E+001
2637000;-1.812551E+001;-2.149770E+001
2648000;-1.784449E+001;-2.332430E+001
2661000;-1.812551E+001;-2.332430E+001
2673000;-1.910906E+001;-2.304328E+001
2685000;-1.910906E+001;-2.332430E+001
2696000;-1.910906E+001;-2.332430E+001
2707000;-1.840652E+001;-2.093567E+001
2718000;-1.939008E+001;-2.093567E+001
2729000;-1.953059E+001;-2.107617E+001
2740000;-1.939008E+001;-2.304328E+001
2752000;-1.953059E+001;-2.332430E+001
2764000;-1.939008E+001;-2.121668E+001
2776000;-1.939008E+001;-2.304328E+001
2789000;-1.910906E+001;-2.121668E+001
2801000;-1.910906E+001;-2.304328E+001
2813000;-1.896856E+001;-2.332430E+001
2825000;-1.882805E+001;-2.332430E+001
2837000;-1.882805E+001;-2.121668E+001
2848000;-1.896856E+001;-2.121668E+001
2859000;-1.910906E+001;-2.135719E+001
2871000;-1.868754E+001;-2.135719E+001
2883000;-1.882805E+001;-2.135719E+001
2895000;-1.882805E+001;-2.135719E+001
2906000;-1.896856E+001;-2.332430E+001
2918000;-1.910906E+001;-2.304328E+001
2929000;-1.896856E+001;-2.332430E+001
2942000;-1.939008E+001;-2.332430E+001
2953000;-1.939008E+001;-2.163820E+001
2965000;-1.882805E+001;-2.121668E+001
2976000;-1.910906E+001;-2.107617E+001
2988000;-1.924957E+001;-2.093567E+001
2999000;-1.924957E+001;-2.121668E+001
3011000;-1.882805E+001;-2.107617E+001
3022000;-1.882805E+001;-2.107617E+001
3034000;-1.953059E+001;-2.135719E+001
3046000;-1.924957E+001;-2.093567E+001
3059000;-1.995211E+001;-2.135719E+001
3071000;-1.910906E+001;-2.079516E+001
3083000;-1.910906E+001;-2.079516E+001
3094000;-1.910906E+001;-2.135719E+001
3105000;-1.939008E+001;-2.135719E+001
3116000;-1.939008E+001;-2.135719E+001
3128000;-1.967109E+001;-2.135719E+001
3139000;-1.939008E+001;-2.135719E+001
